sys_bd_linea_pdn.descripcion,Provincia,org_ficha_organizacion.nombre,producto,cantidad_final,Departamento,valor_inicial,valor_final,cantidad_inicial,F.Registral,Distrito,timestamp,length
PANES Y OTROS,MELGAR,ASOCIACION 5 DE AGOSTO PANIFICADORA VALLECITO,PAN TOSTADA,210,PUNO,0,33.6,0,11105511,LLALLI,,
PANES Y OTROS,MELGAR,ASOCIACION 5 DE AGOSTO PANIFICADORA VALLECITO,TORTA DE FRUTA,400,PUNO,0,10000,0,11105511,LLALLI,,
PANES Y OTROS,MELGAR,ASOCIACION 5 DE AGOSTO PANIFICADORA VALLECITO,PIONONO,350,PUNO,0,350,0,11105511,LLALLI,,
ARTE Y CULTURA,MELGAR,ASOCIACION UNION CULTURAL LLALLI,SERVICIOS,15,PUNO,900,15000,2,11106995,LLALLI,,
ARTE Y CULTURA,MELGAR,ASOCIACION UNION CULTURAL LLALLI,CD GRABADO,700,PUNO,0,3500,0,11106995,LLALLI,,
PANES Y OTROS,MELGAR,ASOCIACION PANIFICADORA VIRGEN DE LAS NIEVES,PAN COMUN TRES ESQUINAS,2500,PUNO,8500,425,50000,11107011,LLALLI,,
PANES Y OTROS,MELGAR,ASOCIACION PANIFICADORA VIRGEN DE LAS NIEVES,PASTELES VARIOS,1800,PUNO,0,900,0,11107011,LLALLI,,
PANES Y OTROS,MELGAR,ASOCIACION PANIFICADORA VIRGEN DE LAS NIEVES,PAN DE QUINUA,1200,PUNO,36,420,180,11107011,LLALLI,,
PANES Y OTROS,MELGAR,ASOCIACION PANIFICADORA VIRGEN DE LAS NIEVES,PAN DE CAÑIHUA,2300,PUNO,100,575,500,11107011,LLALLI,,
PANES Y OTROS,MELGAR,ASOCIACION PANIFICADORA VIRGEN DE LAS NIEVES,PAN DE CHUÑO,400,PUNO,0,100,0,11107011,LLALLI,,
PANES Y OTROS,MELGAR,ASOCIACION PANIFICADORA VIRGEN DE LAS NIEVES,PAN CHUTA,5000,PUNO,0,2500,0,11107011,LLALLI,,
PANES Y OTROS,MELGAR,ASOCIACION PANIFICADORA VIRGEN DE LAS NIEVES,"PANES VARIOS (CARIOCA, COCO, CACHO Y OTROS)",80000,PUNO,0,13600,0,11107011,LLALLI,,
